Time;batch;arc;pyx
0,8;1;0;0
0,8;1;0;0
0,8;1;0;1
1,3;1;0;0
1,3;1;0;0
1,3;1;0;0
1,6;1;1;1
1,6;1;3;2
1,6;1;3;3
1,8;1;1;0
1,8;1;2;0
1,8;1;1;2
2,3;1;8;3
2,3;1;12;9
2,3;1;9;12
2,6;1;3;2
2,6;1;2;3
2,6;1;6;3
2,8;1;6;6
2,8;1;6;9
2,8;1;2;11
3,3;1;3;2
3,3;1;2;4
3,3;1;7;6
3,6;1;9;3
3,6;1;7;6
3,6;1;13;13
3,8;1;11;2
3,8;1;7;9
3,8;1;10;11
4,3;1;20;9
4,3;1;13;10
4,3;1;22;13
4,6;1;18;8
4,6;1;20;13
4,6;1;19;16
4,8;1;13;6
4,8;1;12;11
4,8;1;16;23
5,3;1;12;8
5,3;1;27;11
5,3;1;21;13
5,6;1;18;10
5,6;1;20;12
5,6;1;18;17
5,8;1;18;13
5,8;1;27;17
5,8;1;25;20
6,3;1;18;7
6,3;1;26;11
6,3;1;17;15
6,6;1;20;10
6,6;1;16;14
6,6;1;21;17
6,8;1;21;19
6,8;1;16;20
6,8;1;16;25
7,6;1;23;14
7,6;1;16;20
7,6;1;33;25
7,8;1;25;25
7,8;1;34;33
7,8;1;22;34
8,3;1;16;13
8,3;1;26;14
8,3;1;15;23
8,6;1;16;28
8,6;1;19;28
8,6;1;18;35
8,8;1;20;23
8,8;1;26;25
8,8;1;22;27
9,3;1;19;31
9,3;1;20;33
9,3;1;23;38
9,6;1;28;23
9,6;1;24;33
9,6;1;25;44
9,8;1;26;32
9,8;1;22;36
9,8;1;25;42
10,3;1;17;31
10,3;1;20;48
10,3;1;20;50
10,6;1;26;40
10,6;1;30;48
10,6;1;22;50
10,8;1;28;63
10,8;1;30;71
10,8;1;20;72
11,3;1;30;65
11,3;1;31;66
11,3;1;28;77
42,3;1;0;19
42,3;1;1;26
42,3;1;1;28
42,6;1;0;19
42,6;1;2;25
42,6;1;0;26
42,8;1;0;21
42,8;1;2;21
42,8;1;1;30
43,6;1;1;15
43,6;1;0;18
43,6;1;1;25
0,8;2;0;0
0,8;2;1;0
0,8;2;1;1
1,3;2;0;0
1,3;2;1;4
1,3;2;1;5
1,6;2;2;0
1,6;2;2;1
1,6;2;2;2
1,8;2;1;0
1,8;2;1;0
1,8;2;0;1
2,3;2;9;8
2,3;2;8;9
2,3;2;9;11
2,6;2;3;3
2,6;2;4;5
2,6;2;4;8
2,8;2;5;4
2,8;2;4;8
2,8;2;6;10
3,3;2;2;2
3,3;2;8;3
3,3;2;8;4
3,6;2;9;1
3,6;2;8;2
3,6;2;12;2
3,8;2;12;1
3,8;2;9;2
3,8;2;9;2
4,3;2;12;3
4,3;2;19;4
4,3;2;14;6
4,6;2;18;1
4,6;2;25;2
4,6;2;24;3
4,8;2;17;2
4,8;2;24;2
4,8;2;16;6
5,3;2;16;5
5,3;2;20;5
5,3;2;23;7
5,6;2;18;1
5,6;2;22;1
5,6;2;22;7
5,8;2;27;3
5,8;2;10;4
5,8;2;35;6
6,3;2;23;1
6,3;2;35;2
6,3;2;17;6
6,6;2;29;1
6,6;2;33;3
6,6;2;25;10
6,8;2;34;0
6,8;2;36;2
6,8;2;27;4
7,6;2;26;3
7,6;2;31;10
7,6;2;26;17
7,8;2;34;7
7,8;2;22;13
7,8;2;16;15
8,3;2;24;0
8,3;2;33;4
8,3;2;27;9
8,6;2;23;5
8,6;2;26;5
8,6;2;34;5
8,8;2;23;3
8,8;2;24;3
8,8;2;36;5
9,3;2;31;1
9,3;2;28;3
9,3;2;30;7
9,6;2;33;5
9,6;2;26;8
9,6;2;28;11
9,8;2;37;4
9,8;2;35;5
9,8;2;27;10
10,3;2;42;14
10,3;2;40;18
10,3;2;36;23
10,6;2;32;6
10,6;2;38;13
10,6;2;39;27
10,8;2;30;5
10,8;2;42;5
10,8;2;32;9
11,3;2;23;32
11,3;2;24;34
11,3;2;26;35
42,3;2;0;13
42,3;2;1;14
42,3;2;1;23
42,6;2;1;13
42,6;2;0;18
42,6;2;0;22
42,8;2;1;14
42,8;2;0;21
42,8;2;2;27
43,6;2;0;15
43,6;2;0;18
43,6;2;1;23
0,8;3;0;0
0,8;3;1;0
0,8;3;2;0
1,3;3;0;0
1,3;3;1;0
1,3;3;0;1
1,6;3;0;1
1,6;3;1;1
1,6;3;4;2
1,8;3;2;0
1,8;3;0;2
1,8;3;4;2
2,3;3;6;5
2,3;3;5;9
2,3;3;2;11
2,6;3;0;3
2,6;3;4;4
2,6;3;3;7
2,8;3;4;1
2,8;3;1;5
2,8;3;2;5
3,3;3;5;4
3,3;3;6;9
3,3;3;7;12
3,6;3;4;10
3,6;3;5;10
3,6;3;5;12
3,8;3;7;5
3,8;3;4;9
3,8;3;3;11
4,3;3;2;19
4,3;3;11;24
4,3;3;10;31
4,6;3;10;50
4,6;3;7;52
4,6;3;12;63
4,8;3;10;47
4,8;3;11;63
4,8;3;9;82
5,3;3;11;93
5,3;3;9;103
5,3;3;9;104
5,6;3;5;97
5,6;3;13;101
5,6;3;14;139
5,8;3;13;102
5,8;3;19;131
5,8;3;21;168
6,3;3;13;114
6,3;3;9;124
6,3;3;13;127
6,6;3;18;77
6,6;3;12;95
6,6;3;21;116
6,8;3;19;91
6,8;3;12;93
6,8;3;23;107
7,6;3;16;62
7,6;3;14;77
7,6;3;20;80
7,8;3;18;56
7,8;3;18;60
7,8;3;25;70
8,3;3;14;50
8,3;3;14;69
8,3;3;17;72
8,6;3;18;47
8,6;3;16;57
8,6;3;10;68
8,8;3;20;46
8,8;3;24;53
8,8;3;18;55
9,3;3;22;51
9,3;3;24;58
9,3;3;14;59
9,6;3;19;61
9,6;3;12;64
9,6;3;18;64
9,8;3;22;58
9,8;3;8;62
9,8;3;18;65
10,3;3;14;54
10,3;3;15;57
10,3;3;16;69
10,6;3;19;57
10,6;3;23;71
10,6;3;21;79
10,8;3;19;63
10,8;3;18;65
10,8;3;18;67
11,3;3;18;68
11,3;3;20;71
11,3;3;14;75
42,3;3;0;9
42,3;3;1;13
42,3;3;0;14
42,6;3;0;20
42,6;3;0;22
42,6;3;0;25
42,8;3;0;21
42,8;3;0;21
42,8;3;1;22
43,6;3;0;12
43,6;3;0;24
43,6;3;1;26
0,8;4;0;0
0,8;4;0;0
0,8;4;0;1
1,3;4;0;0
1,3;4;1;1
1,3;4;1;1
1,6;4;2;2
1,6;4;3;2
1,6;4;1;3
1,8;4;2;1
1,8;4;1;3
1,8;4;3;3
2,3;4;7;4
2,3;4;6;5
2,3;4;11;6
2,6;4;3;0
2,6;4;2;4
2,6;4;9;5
2,8;4;7;4
2,8;4;3;6
2,8;4;1;8
3,3;4;4;4
3,3;4;6;5
3,3;4;7;10
3,6;4;4;7
3,6;4;7;8
3,6;4;8;11
3,8;4;9;4
3,8;4;6;5
3,8;4;12;6
4,3;4;10;4
4,3;4;13;5
4,3;4;9;9
4,6;4;8;3
4,6;4;19;6
4,6;4;19;7
4,8;4;9;3
4,8;4;12;5
4,8;4;13;6
5,3;4;9;9
5,3;4;24;10
5,3;4;5;14
5,6;4;11;8
5,6;4;11;12
5,6;4;8;16
5,8;4;6;7
5,8;4;5;12
5,8;4;14;12
6,3;4;13;10
6,3;4;11;11
6,3;4;12;12
6,6;4;12;8
6,6;4;15;8
6,6;4;12;24
6,8;4;16;13
6,8;4;12;14
6,8;4;16;16
7,6;4;17;18
7,6;4;13;20
7,6;4;16;25
7,8;4;17;19
7,8;4;17;29
7,8;4;11;31
8,3;4;12;26
8,3;4;12;44
8,3;4;11;46
8,6;4;18;42
8,6;4;15;45
8,6;4;10;47
8,8;4;10;38
8,8;4;17;53
8,8;4;10;57
9,3;4;14;70
9,3;4;14;77
9,3;4;20;83
9,6;4;11;72
9,6;4;11;78
9,6;4;14;87
9,8;4;10;82
9,8;4;13;83
9,8;4;5;100
10,3;4;15;79
10,3;4;13;84
10,3;4;9;112
10,6;4;11;100
10,6;4;10;108
10,6;4;12;117
10,8;4;17;98
10,8;4;11;101
10,8;4;13;107
11,3;4;5;93
11,3;4;5;99
11,3;4;8;109
42,3;4;0;4
42,3;4;0;4
42,3;4;0;7
42,6;4;0;6
42,6;4;0;8
42,6;4;0;12
42,8;4;0;13
42,8;4;1;13
42,8;4;0;15
43,6;4;0;9
43,6;4;1;11
43,6;4;1;15
0,8;5;0;0
0,8;5;0;0
0,8;5;3;0
1,3;5;1;0
1,3;5;2;0
1,3;5;0;1
1,6;5;2;0
1,6;5;3;0
1,6;5;3;1
1,8;5;3;0
1,8;5;3;1
1,8;5;3;1
2,3;5;7;2
2,3;5;8;5
2,3;5;10;5
2,6;5;3;0
2,6;5;2;2
2,6;5;0;3
2,8;5;2;1
2,8;5;2;1
2,8;5;7;6
3,3;5;5;4
3,3;5;7;5
3,3;5;7;5
3,6;5;11;1
3,6;5;9;11
3,6;5;7;12
3,8;5;6;2
3,8;5;7;5
3,8;5;7;5
4,3;5;15;3
4,3;5;4;8
4,3;5;14;10
4,6;5;22;3
4,6;5;19;5
4,6;5;24;11
4,8;5;21;5
4,8;5;17;8
4,8;5;22;18
5,3;5;24;2
5,3;5;18;7
5,3;5;21;8
5,6;5;34;3
5,6;5;27;6
5,6;5;22;11
5,8;5;27;4
5,8;5;23;9
5,8;5;26;16
6,3;5;23;2
6,3;5;39;2
6,3;5;41;8
6,6;5;35;5
6,6;5;32;6
6,6;5;26;9
6,8;5;38;2
6,8;5;31;5
6,8;5;39;5
7,6;5;34;5
7,6;5;47;5
7,6;5;35;9
7,8;5;24;1
7,8;5;40;2
7,8;5;33;3
8,3;5;45;1
8,3;5;32;2
8,3;5;31;4
8,6;5;35;1
8,6;5;33;2
8,6;5;34;4
8,8;5;32;2
8,8;5;35;2
8,8;5;47;2
9,3;5;43;6
9,3;5;32;10
9,3;5;36;10
9,6;5;33;9
9,6;5;30;12
9,6;5;38;13
9,8;5;39;3
9,8;5;24;8
9,8;5;26;9
10,3;5;36;8
10,3;5;36;9
10,3;5;38;10
10,6;5;42;6
10,6;5;35;8
10,6;5;58;8
10,8;5;40;7
10,8;5;39;9
10,8;5;35;10
11,3;5;40;6
11,3;5;30;8
11,3;5;29;12
42,3;5;0;14
42,3;5;0;22
42,3;5;1;23
42,6;5;0;22
42,6;5;1;22
42,6;5;2;25
42,8;5;0;14
42,8;5;2;19
42,8;5;1;24
43,6;5;1;16
43,6;5;1;20
43,6;5;1;22
0,8;6;0;0
0,8;6;0;0
0,8;6;1;0
1,3;6;1;1
1,3;6;0;2
1,3;6;1;3
1,6;6;2;0
1,6;6;0;1
1,6;6;1;1
1,8;6;0;0
1,8;6;1;1
1,8;6;1;2
2,3;6;6;0
2,3;6;7;3
2,3;6;7;7
2,6;6;5;3
2,6;6;5;3
2,6;6;4;11
2,8;6;4;0
2,8;6;3;5
2,8;6;3;7
3,3;6;5;1
3,3;6;6;3
3,3;6;4;4
3,6;6;5;2
3,6;6;5;2
3,6;6;2;3
3,8;6;7;0
3,8;6;6;3
3,8;6;7;7
4,3;6;9;0
4,3;6;7;2
4,3;6;13;4
4,6;6;14;3
4,6;6;20;4
4,6;6;15;5
4,8;6;15;7
4,8;6;14;10
4,8;6;14;10
5,3;6;25;5
5,3;6;16;9
5,3;6;18;9
5,6;6;19;3
5,6;6;23;4
5,6;6;31;8
5,8;6;22;3
5,8;6;19;8
5,8;6;22;8
6,3;6;20;3
6,3;6;30;4
6,3;6;22;6
6,6;6;35;3
6,6;6;35;4
6,6;6;37;8
6,8;6;29;2
6,8;6;30;3
6,8;6;35;3
7,6;6;27;5
7,6;6;28;5
7,6;6;33;5
7,8;6;34;2
7,8;6;50;4
7,8;6;31;6
8,3;6;27;2
8,3;6;40;2
8,3;6;33;3
8,6;6;27;3
8,6;6;38;3
8,6;6;24;4
8,8;6;31;1
8,8;6;27;3
8,8;6;35;3
9,3;6;37;3
9,3;6;35;4
9,3;6;40;5
9,6;6;36;2
9,6;6;33;6
9,6;6;34;6
9,8;6;39;1
9,8;6;28;4
9,8;6;29;4
10,3;6;27;4
10,3;6;22;8
10,3;6;22;10
10,6;6;28;6
10,6;6;29;8
10,6;6;27;9
10,8;6;32;6
10,8;6;28;8
10,8;6;29;10
11,3;6;30;11
11,3;6;27;12
11,3;6;28;14
0,8;7;2;0
0,8;7;0;1
0,8;7;4;1
1,3;7;2;0
1,3;7;3;0
1,3;7;2;1
1,6;7;1;0
1,6;7;2;0
1,6;7;0;1
1,8;7;1;0
1,8;7;0;1
1,8;7;1;1
2,3;7;8;4
2,3;7;5;5
2,3;7;1;6
2,6;7;2;1
2,6;7;5;1
2,6;7;5;8
2,8;7;4;2
2,8;7;4;3
2,8;7;5;7
3,3;7;6;1
3,3;7;11;1
3,3;7;8;10
3,6;7;7;1
3,6;7;8;2
3,6;7;6;4
3,8;7;7;4
3,8;7;9;5
3,8;7;8;6
4,3;7;9;0
4,3;7;5;2
4,3;7;9;4
4,6;7;15;4
4,6;7;8;6
4,6;7;9;7
4,8;7;14;1
4,8;7;18;1
4,8;7;19;1
5,3;7;17;0
5,3;7;25;5
5,3;7;19;7
5,6;7;15;1
5,6;7;19;3
5,6;7;26;6
5,8;7;24;1
5,8;7;24;5
5,8;7;27;5
6,3;7;25;1
6,3;7;27;3
6,3;7;29;3
6,6;7;26;2
6,6;7;36;2
6,6;7;17;6
6,8;7;27;0
6,8;7;37;1
6,8;7;23;5
7,6;7;22;0
7,6;7;30;2
7,6;7;28;3
7,8;7;29;0
7,8;7;33;1
7,8;7;27;2
8,3;7;26;1
8,3;7;29;1
8,3;7;33;1
8,6;7;29;0
8,6;7;33;1
8,6;7;34;1
8,8;7;39;0
8,8;7;35;1
8,8;7;44;2
9,3;7;41;0
9,3;7;26;2
9,3;7;37;2
9,6;7;30;2
9,6;7;37;2
9,6;7;41;2
9,8;7;27;1
9,8;7;43;2
9,8;7;42;3
10,3;7;28;3
10,3;7;29;3
10,3;7;29;3
10,6;7;43;1
10,6;7;27;4
10,6;7;40;6
10,8;7;45;0
10,8;7;28;1
10,8;7;39;7
11,3;7;29;0
11,3;7;33;1
11,3;7;28;2
